设备状态统计_历史状态明细,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
  电场:[三峡阳江海路海风场];  设备类型:风机;  设备:[#43];  查询方式:详情;  开始时间:2025-01-01;  结束时间:2025-12-01,,,,,,,,,
序号,馈线名称,设备名称,型号名称,状态,状态码,开始时间,结束时间,持续时间(s),时长描述(h)
121,L14,#43,GW252/13600,(1)停机过程,1,2025-10-24 13:15:35,2025-10-24 13:16:25,50,0.01
122,L14,#43,GW252/13600,(5)发电状态,5,2025-10-24 13:02:55,2025-10-24 13:15:35,760,0.21
123,L14,#43,GW252/13600,(4)启机状态,4,2025-10-24 13:02:19,2025-10-24 13:02:55,36,0.01
124,L14,#43,GW252/13600,(3)待机状态,3,2025-10-24 13:01:45,2025-10-24 13:02:19,34,0.01
125,L14,#43,GW252/13600,(2)停机状态,2,2025-10-24 12:56:27,2025-10-24 13:01:45,318,0.09
126,L14,#43,GW252/13600,(1)停机过程,1,2025-10-24 12:55:38,2025-10-24 12:56:27,49,0.01
127,L14,#43,GW252/13600,(5)发电状态,5,2025-10-24 12:52:32,2025-10-24 12:55:38,186,0.05
128,L14,#43,GW252/13600,(4)启机状态,4,2025-10-24 12:51:56,2025-10-24 12:52:32,36,0.01
129,L14,#43,GW252/13600,(3)待机状态,3,2025-10-24 12:51:24,2025-10-24 12:51:56,32,0.01
130,L14,#43,GW252/13600,(2)停机状态,2,2025-10-24 12:41:24,2025-10-24 12:51:24,600,0.17
131,L14,#43,GW252/13600,(1)停机过程,1,2025-10-24 12:40:35,2025-10-24 12:41:24,49,0.01
132,L14,#43,GW252/13600,(5)发电状态,5,2025-10-23 14:59:22,2025-10-24 12:40:35,78073,21.69
133,L14,#43,GW252/13600,(4)启机状态,4,2025-10-23 14:58:49,2025-10-23 14:59:22,33,0.01
134,L14,#43,GW252/13600,(3)待机状态,3,2025-10-23 14:58:16,2025-10-23 14:58:49,33,0.01
135,L14,#43,GW252/13600,(2)停机状态,2,2025-10-23 14:47:00,2025-10-23 14:58:16,676,0.19
136,L14,#43,GW252/13600,(1)停机过程,1,2025-10-23 14:46:11,2025-10-23 14:47:00,49,0.01
